CDODefId,CDOName,Workspace,OntologyStatus,OntologyFile,Classification,Rationale,FieldCount,ForeignKeyCount,IncomingForeignKeyCount
679477547,A_AdHocWIPDataRecord,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,17,1,2
679477550,A_AdHocWIPDataRecordChg,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,19,2,1
679477548,A_AdHocWIPDataRecordDetails,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,16,3,1
679477549,A_AdHocWIPDataRecordDetailsChg,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,18,4,0
679477418,A_AdHocWIPDataSetup,40,modeled,semiconductor_wip_control_ontology.json,modeled,存在与物理CDOName精确同名的本体类,13,2,1
679477419,A_AdHocWIPDataSetupDetails,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,9,2,0
679477329,A_AreaGroup,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,11,2,0
679477297,A_AttributeAccess,40,modeled,semiconductor_carrier_material_tool_ontology.json,modeled,存在与物理CDOName精确同名的本体类,16,2,2
679477288,A_AttributeType,40,modeled,semiconductor_wafer_experiment_ontology.json,modeled,存在与物理CDOName精确同名的本体类,11,2,1
679477296,A_AttributeValidValues,40,not_modeled,,non_top_level_record,虽有独立主键，但缺少名称、冻结/变更或被引用等顶级建模特征,12,3,0
679477393,A_AutomationPlan,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,13,2,2
679477338,A_BinsLimits,40,not_modeled,,non_top_level_record,虽有独立主键，但缺少名称、冻结/变更或被引用等顶级建模特征,13,2,1
679477340,A_BinsLimitsDetails,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,8,1,0
679477281,A_BinType,40,modeled,semiconductor_wafer_experiment_ontology.json,modeled,存在与物理CDOName精确同名的本体类,12,3,2
679477400,A_BinTypeDetails,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,9,2,0
679477627,A_BonusLotHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,9,1,0
679477626,A_BonusLotHistoryDetails,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,21,0,1
679477269,A_Calendar,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,32,3,2
679477273,A_CalendarHolidays,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,13,2,1
679477272,A_CalendarHolidaysShifts,40,not_modeled,,non_top_level_record,虽有独立主键，但缺少名称、冻结/变更或被引用等顶级建模特征,9,2,0
679477271,A_CalendarShifts,40,not_modeled,,non_top_level_record,虽有独立主键，但缺少名称、冻结/变更或被引用等顶级建模特征,11,2,0
679477290,A_CalendarShiftsCycle,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,11,2,2
679477291,A_CalendarShiftsCycleDetails,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,10,2,0
679477270,A_CalendarWorkWeeks,40,not_modeled,,non_top_level_record,虽有独立主键，但缺少名称、冻结/变更或被引用等顶级建模特征,17,1,0
679477704,A_CarrierAssignSlotMapHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,19,3,1
679477705,A_CarrierAssignSlotMapHistoryD,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,18,3,0
679477603,A_CarrierChangeHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,12,1,0
679477446,A_CarrierFamilySizing,40,not_modeled,,non_top_level_record,虽有独立主键，但缺少名称、冻结/变更或被引用等顶级建模特征,9,1,0
679477636,A_CarrierTransferUnitsHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,30,1,0
679477711,A_CarrierValidationSetup,40,modeled,semiconductor_carrier_material_tool_ontology.json,modeled,存在与物理CDOName精确同名的本体类,20,5,0
679477686,A_CheckSheetDetails,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,12,3,0
679477687,A_CheckSheetMatrix,40,modeled,semiconductor_quality_iqc_ontology.json,modeled,存在与物理CDOName精确同名的本体类,22,9,1
679477597,A_CombineWafersHistoryDetails,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,22,2,1
679477665,A_CompleteMaintHistoryDetailsC,csi,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,14,2,0
679477613,A_ConsumeMaterialsHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,9,1,1
679477614,A_ConsumeMaterialsHistoryDetai,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,30,2,1
679477656,A_ConsumeMaterialsHistoryWafer,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,15,1,1
679477660,A_ConvertWafersHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,11,1,0
679477661,A_ConvertWafersHistoryDetails,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,13,0,1
679477628,A_CountVarianceHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,14,1,1
679477641,A_CountVarianceHistoryDetails,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,13,1,0
679477391,A_CountVarianceLimits,40,modeled,semiconductor_quality_iqc_ontology.json,modeled,存在与物理CDOName精确同名的本体类,12,3,1
679477392,A_CountVarianceLimitsDetails,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,10,1,0
679477639,A_CreateInsertionHistory,40,not_modeled,,runtime_or_history,名称显示为运行、历史、审计、缓存或日志表,10,1,0
679477324,A_CycleTimeHolidays,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,14,2,0
679477416,A_DispatchPlan,40,modeled,semiconductor_scheduling_flow_ontology.json,modeled,存在与物理CDOName精确同名的本体类,11,2,4
679477417,A_DispatchPlanDetails,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,10,2,0
679477684,A_DocumentParameters,40,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,14,1,0
679477253,A_EmailGroup,csi,modeled,semiconductor_wip_control_ontology.json,modeled,存在与物理CDOName精确同名的本体类,13,3,58
679477256,A_EmailGroupDefaultForObjectTy,csi,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,5,1,0
679477254,A_EmailGroupEntries,csi,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,5,2,0
679477255,A_EmailGroupGroups,csi,not_modeled,,child_or_association,名称显示为明细、映射、列表或参数子表,5,2,0
679477404,A_EmployeeGroup,csi,modeled,semiconductor_shared_support_ontology.json,modeled,存在与物理CDOName精确同名的本体类,12,2,8
