ontologyFile,module,className,chineseName,propertyName,propertyType,physicalDescription,matchingSwaggerSchemas,reason
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,isSourceProduct,Boolean,物理字段 IsSourceProduct,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,ssStep,Navigation,物理字段 ss_StepId → WorkflowStep,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,ssWfStackKey,String,物理字段 ss_WfStackKey,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,ssWorkflow,Navigation,物理字段 ss_WorkflowId → Workflow,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,scsIsComponentIssue,Boolean,物理字段 scsIsComponentIssue,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,effectiveThruDateGmt,DateTime,物理字段 EffectiveThruDateGMT,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,effectiveFromDateGmt,DateTime,物理字段 EffectiveFromDateGMT,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,materialTxnLogic,Integer,物理字段 MaterialTxnLogic,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,description,String,物理字段 Description,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,parentRevision,String,物理字段 ParentRevision,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,objectTypeName,String,物理字段 ObjectTypeName,,no_matching_swagger_schema
bom_ontology.json,bom,ProductMaterialListItem,BOM物料行,producingOrder,String,物理字段 ProducingOrder,,no_matching_swagger_schema
bonus_reasons_ontology.json,bonus_reasons,BonusReason,奖励原因,setupAccess,Navigation,物理字段 SetupAccessId → A_SetupAccess,,no_matching_swagger_schema
bonus_reasons_ontology.json,bonus_reasons,BonusReason,奖励原因,changeHistory,Navigation,物理字段 ChangeHistoryId → ChangeStatus,,no_matching_swagger_schema
bonus_reasons_ontology.json,bonus_reasons,BonusReasonGroup,奖励原因组,setupAccess,Navigation,物理字段 SetupAccessId → A_SetupAccess,,no_matching_swagger_schema
bonus_reasons_ontology.json,bonus_reasons,BonusReasonGroup,奖励原因组,changeHistory,Navigation,物理字段 ChangeHistoryId → ChangeStatus,,no_matching_swagger_schema
bonus_reasons_ontology.json,bonus_reasons,BonusReasonGroup,奖励原因组,entryType,String,物理字段 EntryType,,no_matching_swagger_schema
business_process_ontology.json,business_process,BusinessProcessWorkflow,业务流程工作流,businessProcessWorkflowBase,Navigation,物理字段 BusinessProcessWorkflowBaseId → BusinessProcessWorkflowBase,BusinessProcessWorkflowEntity,property_not_exposed_or_name_differs
business_process_ontology.json,business_process,BusinessProcessSpec,业务流程规范,businessProcessSpecBase,Navigation,物理字段 BusinessProcessSpecBaseId → BusinessProcessSpecBase,BusinessProcessSpecEntity,property_not_exposed_or_name_differs
business_process_ontology.json,business_process,BusinessProcessSpec,业务流程规范,stepIcon,String,物理字段 StepIcon,BusinessProcessSpecEntity,property_not_exposed_or_name_differs
business_process_ontology.json,business_process,BusinessProcessSpec,业务流程规范,moveStdValidation,Navigation,物理字段 MoveStdValidationId → BusinessRule,BusinessProcessSpecEntity,property_not_exposed_or_name_differs
business_process_ontology.json,business_process,BusinessProcessSpec,业务流程规范,packageStatus,Integer,物理字段 PackageStatus,BusinessProcessSpecEntity,property_not_exposed_or_name_differs
